kecamatan,N_2016,y_2016,N_2017,y_2017,N_2018,y_2018,N_2019,y_2019,N_2020,y_2020,N_2021,y_2021,N_2022,y_2022
Andir,98038,106,106253,33,106498,67,99130,133,96260,120,96500,145,101714,113
Antapani,74834,170,77115,92,77293,128,92245,388,79260,186,80000,279,82311,261
Arcamanik,68541,185,73631,62,73801,95,76240,408,77210,190,78400,170,81653,275
Astana Anyar,69242,67,76734,58,76911,90,74080,185,69320,98,68500,106,75389,92
Babakan Ciparay,148563,89,135941,17,136254,88,138790,214,142440,122,142400,171,146530,111
Bandung Kidul,59547,163,59296,82,59433,74,59700,220,59980,106,60200,144,62727,173
Bandung Kulon,143837,136,136037,25,136351,47,132810,153,1388810,102,138800,137,139911,116
Bandung Wetan,31054,39,32257,24,32331,35,28920,105,26850,69,26700,67,29742,65
Batununggal,121518,210,121605,131,121886,162,120900,303,115500,193,115400,164,124574,213
Bojongloa Kaler,121606,64,126186,24,126477,89,123470,220,119190,122,119400,227,127317,190
Bojongloa Kidul,86676,80,86780,18,86981,84,85640,220,86740,100,87100,169,90043,111
Buah Batu,95701,293,100751,134,100984,131,101020,446,100370,269,101200,242,106611,299
Cibeunying Kaler,71442,144,70762,64,70926,112,69780,199,67100,123,67100,136,72514,136
Cibeunying Kidul,108589,141,113622,106,113885,222,112900,313,107390,135,107700,157,116308,173
Cibiru,70629,124,73143,29,73312,105,72790,270,72090,111,72600,111,77610,195
Cicendo,100263,108,97678,34,97903,93,96010,181,92330,106,92200,147,98876,178
Cidadap,58637,68,54276,12,54401,45,53620,214,52700,90,52600,92,55938,127
Cinambo,24845,36,24872,26,24929,24,25100,106,25360,58,25500,51,26205,68
Coblong,132481,292,115453,127,115720,187,114160,389,110210,258,110100,215,118038,286
Gedebage,36038,93,39077,29,39167,56,40120,182,41650,106,42400,101,42746,164
Kiaracondong,132616,203,127443,114,127738,175,130080,492,126660,178,126600,235,134787,250
Lengkong,71888,226,74581,138,74753,90,71300,202,66230,151,66100,165,72976,200
Mandalajati,63377,71,69123,33,69283,95,70960,227,71420,122,72500,136,75308,145
Panyileukan,39484,48,38969,34,39059,48,390280,146,39890,104,40100,72,41563,124
Rancasari,75744,206,82553,89,82744,100,83430,311,83660,218,84800,234,88547,288
Regol,82283,159,85186,115,85383,80,80140,308,79140,123,79100,144,82755,150
Sukajadi,108907,97,103151,36,103390,95,101320,343,100670,133,100500,247,105471,223
Sukasari,82311,96,75498,43,75672,87,76940,305,74890,143,74700,175,79691,198
Sumur Bandung,36032,37,37028,25,37114,41,37060,83,34140,115,34100,71,38836,66
Ujung Berung,75756,129,82938,32,83130,81,86230,334,87700,175,89300,183,92180,215
