kecamatan,IS0,IT0,IT1,population,year,case
Andir,1,1,1,98038,2016,106
Antapani,2,1,1,74834,2016,170
Arcamanik,3,1,1,68541,2016,185
Astana Anyar,4,1,1,69242,2016,67
Babakan Ciparay,5,1,1,148563,2016,89
Bandung Kidul,6,1,1,59547,2016,163
Bandung Kulon,7,1,1,143837,2016,136
Bandung Wetan,8,1,1,31054,2016,39
Batununggal,9,1,1,121518,2016,210
Bojongloa Kaler,10,1,1,121606,2016,64
Bojongloa Kidul,11,1,1,86676,2016,80
Buah Batu,12,1,1,95701,2016,293
Cibeunying Kaler,13,1,1,71442,2016,144
Cibeunying Kidul,14,1,1,108589,2016,141
Cibiru,15,1,1,70629,2016,124
Cicendo,16,1,1,100263,2016,108
Cidadap,17,1,1,58637,2016,68
Cinambo,18,1,1,24845,2016,36
Coblong,19,1,1,132481,2016,292
Gedebage,20,1,1,36038,2016,93
Kiaracondong,21,1,1,132616,2016,203
Lengkong,22,1,1,71888,2016,226
Mandalajati,23,1,1,63377,2016,71
Panyileukan,24,1,1,39484,2016,48
Rancasari,25,1,1,75744,2016,206
Regol,26,1,1,82283,2016,159
Sukajadi,27,1,1,108907,2016,97
Sukasari,28,1,1,82311,2016,96
Sumur Bandung,29,1,1,36032,2016,37
Ujung Berung,30,1,1,75756,2016,129
Andir,1,2,2,106253,2017,33
Antapani,2,2,2,77115,2017,92
Arcamanik,3,2,2,73631,2017,62
Astana Anyar,4,2,2,76734,2017,58
Babakan Ciparay,5,2,2,135941,2017,17
Bandung Kidul,6,2,2,59296,2017,82
Bandung Kulon,7,2,2,136037,2017,25
Bandung Wetan,8,2,2,32257,2017,24
Batununggal,9,2,2,121605,2017,131
Bojongloa Kaler,10,2,2,126186,2017,24
Bojongloa Kidul,11,2,2,86780,2017,18
Buah Batu,12,2,2,100751,2017,134
Cibeunying Kaler,13,2,2,70762,2017,64
Cibeunying Kidul,14,2,2,113622,2017,106
Cibiru,15,2,2,73143,2017,29
Cicendo,16,2,2,97678,2017,34
Cidadap,17,2,2,54276,2017,12
Cinambo,18,2,2,24872,2017,26
Coblong,19,2,2,115453,2017,127
Gedebage,20,2,2,39077,2017,29
Kiaracondong,21,2,2,127443,2017,114
Lengkong,22,2,2,74581,2017,138
Mandalajati,23,2,2,69123,2017,33
Panyileukan,24,2,2,38969,2017,34
Rancasari,25,2,2,82553,2017,89
Regol,26,2,2,85186,2017,115
Sukajadi,27,2,2,103151,2017,36
Sukasari,28,2,2,75498,2017,43
Sumur Bandung,29,2,2,37028,2017,25
Ujung Berung,30,2,2,82938,2017,32
Andir,1,3,3,106498,2018,67
Antapani,2,3,3,77293,2018,128
Arcamanik,3,3,3,73801,2018,95
Astana Anyar,4,3,3,76911,2018,90
Babakan Ciparay,5,3,3,136254,2018,88
Bandung Kidul,6,3,3,59433,2018,74
Bandung Kulon,7,3,3,136351,2018,47
Bandung Wetan,8,3,3,32331,2018,35
Batununggal,9,3,3,121886,2018,162
Bojongloa Kaler,10,3,3,126477,2018,89
Bojongloa Kidul,11,3,3,86981,2018,84
Buah Batu,12,3,3,100984,2018,131
Cibeunying Kaler,13,3,3,70926,2018,112
Cibeunying Kidul,14,3,3,113885,2018,222
Cibiru,15,3,3,73312,2018,105
Cicendo,16,3,3,97903,2018,93
Cidadap,17,3,3,54401,2018,45
Cinambo,18,3,3,24929,2018,24
Coblong,19,3,3,115720,2018,187
Gedebage,20,3,3,39167,2018,56
Kiaracondong,21,3,3,127738,2018,175
Lengkong,22,3,3,74753,2018,90
Mandalajati,23,3,3,69283,2018,95
Panyileukan,24,3,3,39059,2018,48
Rancasari,25,3,3,82744,2018,100
Regol,26,3,3,85383,2018,80
